Campaign name,Ad set name,Ad name,Cost,Reach,Impressions,Link clicks,Post comments,Post reactions,Post Saves,Post shares,Three-second video views,Video watches at 100%,influ,funil,formato
__-_E-M_NBA_A_BRAND_BL_-_-_BRAND_LANÇAMENTO_21_15.1_31.1__AWARENESS_-,NBA_BRAND_FB-IG_BL_-_-_BRAND_LANCAMENTO_CPM_TG_T017_PHOTOAD_PO_PO,PHOTOAD_TORCIDA-CROCANTE_-_QUAD-VERT_PPP_NBA_BRAND_FB-IG_BL_-_-_BRAND_LANCAMENTO_CPM_TG_T017_PHOTOAD_PO_PO,"4363,51",2028462,2487864,363,35,828,25,2,,,0,awareness,estático
__-_E-M_FARM-TO-PACK_A_BRAND_BL_-_-_BRAND_AWARENESS_21_22.1_24.11_BRANDING_AWARENESS_SUSTENTACAO,FARM-TO-PACK_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T100_PHOTOAD_PO_PO — Cópia,VIDEO_HERO-6S-CAMINHAO_4-6S_QUAD-VERT_VID_FARM-TO-PACK_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T100_VIDEO_PO_PO,"4360,9",1765905,2418032,148,2,512,8,4,141011,52961,0,awareness,video 6s
PIZZA_ROCKINRIO_Awareness_Social-Auction_Innovation_N/A_COBERTURA,PBFCLJAXI_Facebook_Video_Stories_Interests_T020_SSNT_CPM_1109,Video_Video_DIA-NOITE_15s_-,"4358,33",1602823,2106658,4,1,360,1,51,108958,69855,0,awareness,video 15s
_BNC_Meta_Awareness_Social-Auction__NA_-awareness,LAMPJ3WYT7_Facebook_Multiple_Mixed_Interests_AS-18+-BR_SSNT_CPM_-bnc-awareness,Display_Mixed_cons-1-mecanica_0x0_awareness-interesses,"4355,92",3211487,3665200,2588,6,229,9,12,,,0,awareness,display
Lolla_Equity_Awareness_Social_NA_N/A_Pre-NET,PBFUKQWYX_Facebook_Multiple_Banner_Audiencia_T01_AS_Auction_Pre-NET-MAIOR-ALCANCE,Video_Video_McTha-6S_4x5,"4352,12",1844733,2031829,68,,297,1,4,86581,11222,0,awareness,video 6s
_-rusticas_Meta_Awareness_Social-Auction_Launch_NA_-meta,LAMPXT6Q5J_Facebook_Multiple_Mixed_Geo_pracas-18+_AS_CPM_-rusticas-awareness-belo-horizonte-antes,Display_Carousel_-rusticas_0x0_awareness-belo-horizonte-antes,"4349,99",766599,838393,947,27,749,63,284,,,0,awareness,display
_L-_P_VAI-E-VOLTA_A_CONV_BL_-_-_CONV_CONVERSAO_21_5.1_11.1__CONVERSION_-,VAI-E-VOLTA_CONV_FB-IG_BL_-_-_CONV_CONVERSAO_CPM_LAL_L003_PHOTOAD_PO_PO,CAROUSEL_CADASTRO-TUTORIAL_-_QUAD-VERT_CAR_VAI-E-VOLTA_CONV_FB-IG_BL_-_-_CONV_CONVERSAO_CPM_LAL_L003_CAROUSEL_PO_PO,"4342,58",297581,490805,1488,3,82,40,218,,,0,conversao,carrosel
LAB_BR__Lipton_Lipton_Activación-Rio_Meta_Awareness_Social-Auction_Equity_NA_-alcance,LABPZ37FP9_Facebook_Multiple_Stories_Interests_Target-Lipton_SSNT_Reach_CPM_lipton-Activación-Rio,Image_Stories_lipton-Activación-Rio-3_9x16_meta-awareness,"4338,66",1183460,1552754,1474,,,,10,,,0,awareness,stories
_equity-nacional-trajetorias_Meta_Awareness_Social-Auction_Equity_NA_-alcance,LAMPMTN4YB_Facebook_Multiple_Mixed_Retargeting_view-3s_SSNT_CPM_-equity-trajetorias,Video_Video_-equity-trajetoria-ale_0x0_meta-awareness-RMKT3s,"4336,56",1792416,2403384,1794,,282,2,4,80773,11072,0,awareness,video 3s
_Always-On-Out_Meta_Awareness_Social-Auction_Equity_NA_-awareness,PBFJJW6GJ8_Facebook_Video_Reels_Interests_LPBIS-AS-18-29-Consumer-NET-sem-NE_SSNT_Reach_meta-awareness-interesses,Video_Video_liz-pede-bis_9x16_meta-awareness-interesses,"4330,69",2409959,4600310,1715,37,1386,,30,122607,2797,0,awareness,video
