Cost,Impressions,Link clicks,Comments,Reactions,Saves,Shares,Three-second video views,Video watches at 100%,influ,funnel,format,channel
15000,4190502,22791,,1723,5,37,289885,8395,1,awareness,video 15s,meta
14968.04,1187646,5257,,,,,437252,93888,0,awareness,video,youtube
14960.73,1968706,990,,,,,866930,375814,0,consideracao,video,youtube
14955.04,5140721,1138053,,0,,0,0,0,0,consideracao,video,tiktok
14941.95,10403688,8816,108,8644,,42,765810,33072,1,awareness,video 30s,tiktok
14919.76,11131285,15461,,1430,8,73,419492,69248,0,awareness,video 15s,meta
14918.24,13323868,15526,,2339,78,270,635132,47877,0,awareness,video,meta
14909.32,13106587,9764,,1046,,165,261289,22502,0,awareness,video,meta
14899.98,2410672,2035,,,,,1407046,824529,0,consideracao,video 30s,youtube
14892.58,6042816,4433,,,,,289138,83040,0,consideracao,video 15s,youtube
14888.67,3651972,35720,,4410,326,316,,,0,awareness,estatico,meta
14867.45,1754201,10015,,6159,454,174,247637,40128,0,awareness,video 15s,meta
14854.05,8575861,18726,,1563,16,54,,,0,awareness,display,meta
14853.86,2170309,19258,79,6299,,104,983561,16040,1,awareness,video,tiktok
14835,8378341,14696,,3562,154,138,,,0,awareness,carrossel,meta
14801.88,8403711,51201,,4405,62,277,,,0,consideracao,display,meta
14794.35,2230878,8084,,3212,263,189,,,0,conversao,display,meta
14784.16,11317151,8709,,708,83,30,,,0,awareness,carrossel,meta
14779.17,1140978,1499,,,,,528806,245313,0,awareness,video 30s,youtube
14764.62,6346988,43133,,1525,42,93,,,0,consideracao,display,meta
14739.63,3099648,6847,,,,,473362,70058,0,awareness,video 30s,youtube
14738.59,4763861,4728,,,,262,,,0,awareness,stories,meta
14700.68,4523472,15775,651,8,,9,3827069,1262748,0,awareness,video,twitter
14690.25,2439221,12912,,3,,1,2465603,200189,0,awareness,video 15s,twitter
14687.53,18346993,81753,,0,,0,255347,214265,0,awareness,múltiplo,tiktok
14686.76,5506717,16889,,1594,101,103,,,0,conversao,display,meta
14663.97,7427984,10464,,850,23,82,293794,83293,0,awareness,display,meta
14659.55,10920131,26669,,0,,0,1251322,1231537,0,conversao,video,tiktok
14637.19,2272922,23582,4636,54,,5,2,2,1,awareness,texto,twitter
14627.65,1332350,2105,,,,,508533,193649,0,awareness,video 30s,youtube
14620.51,3486913,23502,6538,40,,11,11,1,1,consideracao,texto,twitter
14597.42,8556084,8053,,7396,,232,639608,25372,1,awareness,video reels,meta
14595.27,9549519,25034,,1811,35,41,517402,105166,0,awareness,video 6s,meta
14560,7509549,12937,,2016,60,32,,,0,awareness,estatico,meta
14522.92,2900360,8473,,,,,0,0,0,consideracao,bumper,youtube
14508.05,7474926,18750,,3473,14,65,952956,76111,0,awareness,video 15s,meta
14503.3,2336461,4353,,,,,0,0,0,consideracao,bumper,youtube
14487.07,4541619,25912,,5853,,16,608315,20689,0,awareness,video,tiktok
14452.05,4626475,12824,,1689,50,30,22550,6411,0,awareness,display,meta
14443.8,5881149,28891,806,13,,4,,,0,awareness,display,twitter
14442.02,3771773,4383,450,139959,,15445,1616441,410053,1,consideracao,reels,meta
14416.38,4287452,1028,,,82,,2267922,138794,0,awareness,video,pinterest
14405.1,5760663,29103,815,8,,1,5047150,305539,0,awareness,video 15s,twitter
14404.43,1565034,21813,,1129,247,230,,,0,conversao,estatico,meta
14402.1,6729796,34870,0,4728,,31,688067,15329,1,awareness,video,tiktok
14379.22,4419584,22877,,3192,,30,417860,15630,0,awareness,video,tiktok
14378.64,4029453,10967,,748,50,67,,,0,conversao,display,meta
14347.34,5753289,10373,,6296,129,135,425497,161067,0,awareness,video 6s,meta
14338.37,1904420,26191,,5533,243,352,181506,78886,0,conversao,video 6s,meta
14334.56,9036874,20751,,21304,1007,261,,,0,awareness,stories,meta
14329.15,2896087,14709,,462,50,34,672814,81713,0,consideracao,video 15s,meta
14325.04,7964548,10534,,616,24,11,286373,121206,0,awareness,video 6s,meta
14289.51,9687377,13896,106,1161,70,588,,,0,awareness,display,meta
14285.5,2567777,9758,,18,,24,4,2,0,awareness,texto,twitter
